Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date
tt0100054,6,31/08/2017,Lord of the Flies,https://www.imdb.com/title/tt0100054/,movie,6.4,90,1990,Adventure,26972,16/03/1990
tt10009134,7,02/06/2019,Mob Psycho 100: Collision ~Power Type~,https://www.imdb.com/title/tt10009134/,tvEpisode,8.8,24,2019,Animation,192,11/03/2019
tt10009140,8,02/06/2019,Mob Psycho 100: Guidance ~Psychic Sensor~,https://www.imdb.com/title/tt10009140/,tvEpisode,9.3,24,2019,Animation,252,18/03/2019
tt10023374,9,22/06/2019,Shingeki no kyojin: Midnight Sun,https://www.imdb.com/title/tt10023374/,tvEpisode,9.9,24,2019,Animation,10106,03/06/2019
tt10023452,7,07/07/2019,Shingeki no kyojin: The Basement,https://www.imdb.com/title/tt10023452/,tvEpisode,9.3,24,2019,Animation,4588,10/06/2019
tt1002915,6,11/07/2017,My Name Is Earl: Harassed a Reporter,https://www.imdb.com/title/tt1002915/,tvEpisode,7.8,22,2007,Comedy,377,12/04/2007
tt10034602,8,07/07/2019,Shingeki no kyojin: That Day,https://www.imdb.com/title/tt10034602/,tvEpisode,9.9,24,2019,Animation,8410,17/06/2019
tt10039344,7,23/11/2019,Countdown,https://www.imdb.com/title/tt10039344/,movie,5.4,90,2019,Horror,16910,24/10/2019
tt10064964,7,07/07/2019,Shingeki no kyojin: The Attack Titan,https://www.imdb.com/title/tt10064964/,tvEpisode,9.7,24,2019,Animation,4197,24/06/2019
tt10064968,8,07/07/2019,Shingeki no kyojin: To the Other Side of the Wall,https://www.imdb.com/title/tt10064968/,tvEpisode,9.5,23,2019,Animation,3237,01/07/2019
tt10079058,8,02/06/2019,Mob Psycho 100: Boss Fight ~The Final Light~,https://www.imdb.com/title/tt10079058/,tvEpisode,9.2,24,2019,Animation,236,01/04/2019
tt1010185,6,11/07/2017,My Name Is Earl: G.E.D.,https://www.imdb.com/title/tt1010185/,tvEpisode,7.8,22,2007,Comedy,395,26/04/2007
tt10115062,8,02/06/2019,Mob Psycho 100: The Battle for Social Rehabilitation ~Friendship~,https://www.imdb.com/title/tt10115062/,tvEpisode,8.9,24,2019,Animation,174,25/03/2019
tt1011847,8,27/08/2019,Peep Show: Sophie's Parents,https://www.imdb.com/title/tt1011847/,tvEpisode,8.7,25,2007,Comedy,481,13/04/2007
tt1017808,8,27/08/2019,Peep Show: Conference,https://www.imdb.com/title/tt1017808/,tvEpisode,8.1,26,2007,Comedy,418,20/04/2007
tt10189500,7,25/12/2019,Not Going Out: Christmas Special: Driving Home for Christmas,https://www.imdb.com/title/tt10189500/,tvEpisode,7.6,,2019,Comedy,30,24/12/2019
tt1021817,7,11/07/2017,My Name Is Earl: The Trial,https://www.imdb.com/title/tt1021817/,tvEpisode,8.6,30,2007,Comedy,504,10/05/2007
tt1021893,7,27/08/2019,Peep Show: Gym,https://www.imdb.com/title/tt1021893/,tvEpisode,8.1,24,2007,Comedy,421,27/04/2007
tt1021894,7,27/08/2019,Peep Show: Handyman,https://www.imdb.com/title/tt1021894/,tvEpisode,8.5,25,2007,Comedy,437,04/05/2007
